,0
14,reply-to:  kenneth hinckley lines:    hello      looking add voice input capability user interface developing hp unix workstation  greatly appreciate  information anyone care offer voice input system  easily accessible unix environment        name adresses applicable vendor well  experience specific system helpful       respond via email; post summary  sufficient interest   thanks ken   p  found several impressive system ibm pc's  like avoid hassle purchasing maintaining separate pc  possible  ------------------------------------------------------------------------------- ken hinckley  university virginia  neurosurgical visualization laboratory ------------------------------------------------------------------------------- 
15,lines:  reply-to:    article   john f wood writes:  norman anderson writes:  mitch writes: effect ssrbs recovered recent space shuttle launch found wrench some sort rattling around apparently inside case i heard similar statement local news utah tonight referred to tool the plier took ride space also said thiokol sp employee reported missing tool kind during assembly srb  test first reusable tool   i assume then someone thiokol put manager's hat said that pissing customer delaying shipment srb inside it bad idea regardless tool might ended up  why get feeling thiokol manager's hat shaped like cone  pointy find stick pant better closer brain -- dillon pyron                       opinion expressed ti/dseg lewisville vax support     sender unless otherwise stated - when i'm here      - when i'm home     texans: vote robin hood  need           solution gesture padi dm-                       
16,lines:   article  mathew  writes:   writes: in article  mathew  writes:  yes  fortunately right-thinking folk like good self power  therefore deemed acceptable slaughter ten even hundred  thousand iraqi order liberate oil^h^h^hkuwait  war  hurrah hurrah    number civilian iraqi death over-exaggerated   exploited anti-war emotionalism liberal news medium   fact le iraqi died gulf war civilian   war comparable size century    let's analyze claim little  size war defined   number participant  geographical area  number country involved   number casualty  size army duration number casualty absolute percentage involved geographical area number country too measure size  case i'd relevant statistic number combatant total troop compared total casualty among total civilian population affected geographical area     comparable war talking about  vietnam korea might good comparison     liberal news medium talking about    western news general particular american mass media: cbs nbc abc etc  general tone news whole war those poor poor iraqi along look precisely cruise missile blew building bit                                                      due mostly  short duration coupled precise surgical bombing technique  technically possible recently    suspect medical advance may something too  agree     innocent people died blanket-bombing ww  hear bemoaning them    perhaps topic cropped up  opinion think  blanket bombing german city world war two  appalling act wholesale slaughter country committed  century  bomber harris hero mine  perhaps so  maybe atomic bomb mistake too  that's easy enlightened viewpoint 's right  back then all-out war germany japan squashed all million british already died hundred  thousand french couple hundread thousand american  million russian mention million jew pole  people slavic descent german concentration camp   thing considered fire-bombings atomic bomb essential and therefore justified bringing war quick avoid even greater allied loss  i one regret it                                     war never exact science  smart bomb becoming exact smaller percentage  civilian casualty  sometimes mistake made; target  misidentified; innocent die  that's war really is    entrenched political ruler operating selfish interest without  regard life people that war really is  sure  people suffer them  reason depose entrenched political ruler operating selfish interest  applies ally well     fuss kuwait east timor bosnia even tibet   iraq bad still selling stuff couple week  started bombing  claim effort justify misguided foreign policy west war  evident west especially america misjudged hussein drastically  hussein invaded kuwait  threatened militarily corner significant portion world's oil supply stopped  sure war could prevented judicious concerted effort part west hussein invaded kuwait still hussein responsible decision invade  so strong response west required     mathew sarcasm noted completely off-base here  sounding like complete peace-nik idiot although  feel sure intent    what's intent  sound like loving christian  well  good job it  well loving allow hussein hitler gobble nearby country keep them  allow continue mass slaughter certain people dominion  so i'd yes stopping hussein loving people involved set mind military conquest    iraqi war wrong eh  i'm sure appeasement  worked better war like ww eh    even mentioned appeasement  make think situation  even remotely analogous world war two  mentioned it  intervened allowing hussein keep kuwait appeasement  precisely lesson world learned ww motivated western alliance war  letting hitler take austria czechoslavkia stop ww happening letting hussein keep kuwait stopped eventual gulf war protect saudi arabia                                                               guess  fought ww either -- think innocent  german civilian killed dresden hamburg    yes do  german human too know    sure  truly unfortunate followed hitler grandiose quest thousand year reich  consequence stemmed that   tyrant like hussein have stopped  kind understand  diplomacy; understand point gun  regret  bush wimped military roll baghdad  hussein still power iraqi people's sacrifice not  mention  american died naught    forward hearing incisive comment east timor tibet   them  anything particular    poor poor rodney king  ever stop think why  jury first trial brought back verdict not guilty    yes  amongst thing thought hmm there's awful lot white  people jury  so  policeman trial rodney king  american law deserved jury their peer  black officer involved i'm sure black juror too point of allegedly racial motivation really shallow     foaming mouth blood  policeman certainly looked video tape  jury looked all evidence evidence  seen    see bunch policeman beating someone who's lying defenceless  ground rather hard imagine evidence might  been  so  hard imagine  argument incredulity gained acceptance revered author constructing logical argument  expect another revision soon  :  just kidding     wonderful evidence seemingly kept secret   everyone is  everyone could oh yes  right king deserved good beating could live happily ever  after  admit wonder too  neither prosecution defense talking  cannot conclude either due silence principal       law country intended protect right accused  whether criminal cop  found guilty  reasonable doubt one's guilt jury position  ass evidence render verdict    fine i'm still finding hard imagine reasonable doubt  case  mean cop certainly seem beating someone  who's lying defenceless ground  what's explanation  mass  hallucination  orbital mind-control laser  faked video footage  tell    ok  certainly seemed excessive force involved frankly original not guilty verdict baffled too  learned prosecution first case try convict charge excessive force simple assault probably won tried get conviction charge aggravated assault intent inflict serious bodily harm  charge news commentator said akin attempted murder california law  based prosecution asking for evident  first jury decided officer not guilty  note  not guilty wrong not guilty aggravated assault  intent inflicting serious bodily harm  seed  prosecution defeat overconfidence obtaining  verdict went extreme charge could  fact news commentator presented true feel not guilty verdict reasonable one     mathew  [ thou shalt kill unless thou hast pretty good reason killing     case thou shalt kill also kill anyone get way     unfortunately cannot helped                                     -- jim brown bible loving christian ]  mathew like quote  pretty funny actually  i'm  monty python fan know  kind seems vein  course oversimplifying moral argument seem contradictory  then already    regard  jim b loving christian  :  
17,lines:   article   nick haines writes:  article   gary coffman writes:   stuff deleted  course unit force name weight  order need keep useful constant like  omnipresent  ft/sec^ around    maybe like go system so natural  so easy use gary it figure u  weight  barrel quart foo density lb  / oz per  cubic foot moon gravity  ft  / in/sec^ let's face it  even imperial system us basically metric relating  quantity ie written  ft/sec^;  hanging right express quantity   inch  foot  yard  chain  everyone else saying why that    apparent remaining complexity si system due  multiplicity aforesaid prefix fact what's and  fundamental difference si imperial  exactly unit type value type  expressed multiple unit  like: second minute hour day month year    :-  remember  fahrenheit temperature scale also centigrade scale  revisionist history something like this:  coldest point particular russian winter marked thermometer body temperature volunteer turn sick can't win 'em all space mark thermometer divided hundredth :-  fwiw  doug page     opinion mine maybe necessarily represent     employer or sane person fot matter             
18,lines:   article   writes:  the national air & space museum prototype film  when there year ago prototype display  great i'll visit national air space museum  month  sorry put damper plan three week ago it there  known it course but combed space exhibit pretty thoroughly something like would caught attention instantly  especially prominent recall  however quite possibly longer display; nasm like museum much stuff display once rotate display occasionally --  work man's work              henry spencer @ u toronto zoology                     - kipling               utzoohenry 
19,in-reply-to: 's message fri   : : gmt distribution: usa lines:    fri   :: gmt  don mcgee said: dm fact rumor  madalyn murray o'hare atheist eliminated dm bible reading prayer public school  year ago dm appear fcc petition stop reading dm gospel airway america  also campaigning remove dm christmas program song etc public school  true dm federal communication commission  h street washington dc dm  expressing opposition request  reference petition number  dm   false  story around year  there's drop truth  note care o'hare o'hair myself guilty of  -- ed mccreary                                               o                                    -\  if laughter tao  /' 
20,distribution: na lines:   article   josh hopkins writes:   i remeber reading comment general dynamic tied this  connection proposal early manned landing  sorry  rember heard this i'm fairly sure somewhere reputable  anyone else anything angle  anything gd approach article recent avation week remember exact date recent   allen  --  +---------------------------------------------------------------------------+  lady astor:   sir husband poison coffee     w churchill: madam wife drink it              +---------------------- day first flight dcx-----------------------+ 
21,lines:   article  sean mcmains  writes: wow  i'd interested get hand these especially considering fact motorola yet released  supposedly next x lineup -d   variation  done year ago european partner motorola integrated i/o controller half mmu otherwise  think   were  burkhard neidecker-lutz  distributed multimedia group cec karlsruhe          eerp portfolio manager software motion picture & berkom ii project         multimedia base technology digital equipment corporation   
22,lines:   psa :  lord good all:  tender  mercy  work  jer :  dash another even fa- thers son together saith lord: pity spare mercy destroy them 
23,summary: another inerrantist rewrite bible keywords: scripture implication prophesy `woof' disclaimer: brandy wonderdog hope doghouse rebuilt lines:    lot discussion tyre  sum ezekiel prophesied place mashed never rebuilt; lot people living there appear ezekiel literally correct  bother all understand language ezekiel used differently so-called biblical literalists  example sometimes happens someone say my grandson cutest baby turn around see granddaughter say oh  cutest thing  person literally claiming lined baby world according cuteness discovered grandchild tied first  rather trying express emotion using word object-oriented  example common many people nobody misunderstands intent statements; bible however often mercy people assume everything within must exactly literally true  people existence tyre problem; me not   turning latest person trying defend ezekiel read john king:   prophesy clearly implies people still living  area[]  no implies nothing kind  nothing prophecy ezekiel told interpret literally never oh mean house business plant stuff like that  read i bare rock you never rebuilt conclude tyre bare rock  get `fishing nets' `houses building medium-large population' latter stuff there  word answer mean ezekiel misled everybody read prophecy time written  that literal reading could read passage conclude medium-size city  seem feel never rebuilt mean be rebuilt -- maybe so hardly `clear implication'   mr king also writes:   far i've seen stated figurer ranging    let's assume latter correct  modern standard  talking one-horse town  well no  that's bit le population annapolis i'm resigned commission statehouse  annapolis may new york least two-horse town  supposing  people small town -- still  people ezekiel predicted   said nothing problem  chapter  ezekiel predicts nebuchadnezzar destroy tyre loot valuable  however nebuchadnezzar destroy tyre chapter  ezekiel even quote god saying he army got reward campaign led tyre  let's ignore alexander moment pay attention chapter  ezekiel say n destroy tyre n destroy tyre  ezekiel say n plunder valuable n plunder valuable  regardless think tyre now fact n died place destroyed  ezekiel said n it n not     post is course pointless  inerrantists amazing ability rewrite bible needed fit whatever say  example expect mr king respond comment ezekiel  pulling clear implication hat  ezekiel said n demolish tower clearly implied wall still standing people tower used be  ezekiel said n demolish fine house throw stone timber rubble sea clearly implied n never set foot island  ezekiel wrote n build ramp wall clearly implies n spend  year stomping around mainland never get close wall  see  clear implication totally contrary text reconcile anything want   darren f provine /  [do] i'm enabler  demand it -- cliff claven 
24,keywords: spline rasterization lines:    year ago started work problem appeared simple turned quite difficult  wondering anyone net seen problem hopefully published  solution it  problem draw outline surface defined two roughly parallel cubic spline  input problem essentially start two set point set point  edge object treat two dimensional ie extant edge exists three dimensional space  draw  object    fit cubic spline point  spline effectively computed sequence line segment approximating         curve  spline equal number segment  assume nth segment along spline roughly exactly distance along spline reasonable measure  take segment n along spline match nth segment opposing spline  pair segment form two triangle filled color surface  depth sort triangle  take triangle sorted order project onto pixmap draw color triangle  take edge triangle along edge surface draw line along edge colored special edge color  edge coloring step  heart problem  idea effectively outline edge surface net result however generally lot break gap edge surface  reason fairly complicated involve rasterization problem problem resulting sound familiar appreciate knowing work area  -thanks 
25,lines:   need file format cc:mail file format - seems pcx-based twist: first page multi-page fax readable page disappear format seems 'proprietary'  anybody got clue give email fax secretary order get 'em unscrambled filter cc:mail p[nb]m  think it p[nb]m cc:mail nice too      
26,lines:  distribution: world news-software: vax/vms vnews       article   james thomas green writes why spacecraft shut funding cut  example magellan told go safe mode stay bobbing venus low-power-use mode maybe year funding get restored economy get better hopefully could turned again    be problem political one technical one                     / /  // \  / /     ron baalke                     \ /        jet propulsion lab        /       m/s - telos  aweto new zealand /     /     / / pasadena ca   part caterpillar /  /       /                      part vegetable  
27,lines:    i've got  hz computer warranty trident c video card starting play-up surprise surprise therefore i'm try exchange better card  big question is:  video card high quality acceptable price tag on student budget   thank advance   
28,distribution: na lines:    pat writes:   aw&st  brief blurb manned lunar exploration confernce may  crystal city virginia auspex aiaa  doe anyone this  much attend  anyone go  pat  got something aiaa it  cost $ speaker include john pike hohn young ian pryke 
29,lines:  reply-to:  tony alicea   previous article  kent sandvik says:  well depends it interested might find latest status legal battle kent  do post here email :- discussion appreciated here hate 'invading' newsgroups theme limited interest :-  tony  
30,lines:   article   mike cobb writes: what base belief atheism on  knowledge reasoning  couldn't wrong     actually atheism based ignorance  ignorance   existence god  fall atheist believe   pride mistake   /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   bob beauchaine    said queen could stay blew bronx away sank manhattan sea  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ 
31,reply-to:  lines:    kent sandvik writes:  in article   malcolm lee wrote:  judge christian act call  christian yet not  bd's contradicted scripture  action  christian  simple that  perhaps  read much medium portrayed  ask  true-believing christian find deny  association bd's  even day adventist denied  tie cult were  well satanist follower obscure religion then sure christian unison condemn  make show case  might sure also wrong  and show danger religion -- order  word mind virus mother capable letting their small child burn ash scream  suspect answer question answer to do action like stalin show danger atheism  
32,reply-to:  lines:   article   xia zhao writes:   in article  write:    let's serious i'm working radiosity package written c++  like public domain  i'll announce cg minute  finished it   good news bad news: it'll take another  month at least  finish it    using traditional radiosity method progressive refinement   something else package   package based several article non-standard radiosity unpublished method  main article are:  -  cohen chen wallace greenberg :      progressive refinement approach fast radiosity image generation      computer graphic siggraph v no  pp - august   -  silion puech     general two-pass method integrating specular diffuse reflection     computer graphic siggraph vno  pp- july     need project patch hemi-cube surface technique   using  hardware facilitate projection   hemi-cubes special hardware sun sparcstation     meantime may file    radiositycodetarz  located    computeccncsuedu     guest username password ftp site   anonymous username e-mail address password     there locations; archie get nearest   hope help     stephan       thanks stephan       josephine   stephan   ----------------------------------------------------------------------------   stephan amann     sig computer graphic university berne switzerland                tel +       fax +       projects: radiosity raytracing computer graphic  ---------------------------------------------------------------------------- 
33,lines:   sorry missed raymond dahlgren last month  i'm virtual reality market manager silicon graphic perhaps help little  article   raymond chui writes:  hello real reality agency started express interest  virtual realityvr  far much vr   hollywood movie the terminater  lawnmover  man  also something vr news magazine  computer graphic world magazine   unfortunately sgi system used create special effect terminator  lawnmower man film-quality computer graphic rendered software written film frame time  frame computer animation film took hour render high-end parallel processing computer system thus level graphic difficult impossible acheive real time  frame per second      certainly vr  leading  company  agency university  machine support vr ie sgi sun  hp- bim- etc   depends upon serious advanced application is true immersive visualization vr requires rendering complex visual database anywhere   newly rendered frame per second  similar requirement traditional flight simulator pilot training frame rate low user notice stepping frame move head rapidly around scene motion graphic smooth contiguous  thus graphic system must powerful enough sustain high frame rate rendering complex data representation  additionally frame rate must constant  system render  frame per second point  frame per second next perhaps due scene new viewing direction simpler visible before user get heavily distracted medium the graphic computer rather focusing data maintain constant frame rate system must able run real-time  unix general support real-time operation silicon graphic modified unix kernel multi-processor system able support real-time operation bypassing usual unix process priority-management scheme  uniprocessor system running unix cannot fundamentally support real-time operation not sun sparc hp  series system ibm rs- even sgi's uniprocessor system like indigo crimson multiprocessor onyx challenge system support real-time operation due symmetric multi-processing smp shared-memory architecture  requires advanced rendering technique like texture mapping real-time multi-sample anti-aliasing  general purpose graphic system market today crimson realityengine onyx realityengine system fully support capability anti-aliasing particularly important crawling jagged edge aliased polygon unfortunate distraction immersed virtual environment     kind graphic language used vr  gl opengl phigs pex gks etc  general purpose graphic library listed develop vr application starting pretty low level off-the- shelf software package available get much faster targeted directly vr application developer popular in particular order:  - division inc    redwood city ca - dvs - sen inc    sausalito ca    - worldtoolkit - naval postgraduate school monterey ca     - npsnet free - gemini technology corp    irvine ca       - gvs simation series - paradigm simulation inc  dallas tx       - visionworks audioworks - silicon graphic inc    mountain viewca - iris performer  others top head    company making  interface device vr goggles boom binocular omni-orientational  monitor hamlet glove arm etc  many list here smattering:  - fake space lab    menlo parkca    - boom - virtual technology inc stanford ca     - cyberglove - digital image design    new york ny     - cricket d input - kaiser electro optic    carlsbad ca     - sim eye helmet display - virtual research    sunnyvale ca    - flight helmet display - virtual reality inc    pleasantvilleny - head mtd display s/w - software system    san jose ca     - modeling software - etc etc etc    company's  address phone number  get list name vr  expert  phone number email address   read vr book market:  - virtual reality - ken pimental ken texiera sp - virtual mirage - artificial reality - myron kreuger - etc  check newsgroup scivirtualworlds  feel free contact info  regard  josh  --          					 	joshua mogal     	product manager			 	advanced graphic division     advanced graphic systems	 	silicon graphic inc     	market manager			 	 north shoreline blvd     virtual reality		 	mountain view ca -   interactive entertainment	 	m/s l-     					       	tel:	 -						 	fax:	 -						 	e-mail:							 									  
34,lines:  distribution: world  article   keith allan schneider writes:   jon livesey writes:    explain  how instinctive act moral act happy listen  for example instinctive murder    then murdering moral significance since  would nothing voluntary it    see go again saying moral act significant  voluntary  think this  force something morally responsible it     anyway human ability disregard instinct  well mind    instinctive murder not     so intelligent being moral even bahavior  being mimic theirs    you starting get point  mimicry necessarily   same action imitated  parrot saying pretty polly   isn't necessarily commenting pulchritude polly    attaching many thing term moral think  let's try this:  good animal specie  kill other  or think right   even correct    animal specie kill another     think animal machine nothing  either right wrong  sigh   wonder many time round loop  think instinctive bahaviour moral significance quite prepared believe higher animal primate beginning moral sense since seem exhibit self-awareness       animal specie could kill arbitarily   they don't    they do  poster many example exactly  this seem short memory    arbitrary killing  slaying related   sort mating ritual whatnot  what     trying killing animal moral significance not   natural morality      are trying act morality  most animal intelligent enough think like do    i'm saying:  	there must possibility organism -   	just people talking - consider alternative    it's right posting replying to    yes wa still understand distinction   consider  small child moral   gorilla  dolphin  platypus  line drawn   need self aware  blind   think sentence mean  there must possibility organism -  people talking - consider alternative  imply     do call mechanism seems prevent animal  specie arbitrarily killing other   find fact significant  find fact significant   jon 
35,lines:  distribution: world keywords: hst pluto uranus news-software: vax/vms vnews       recent observation taken hubble space telescope:       faint object spectrograph fo used ultraviolet        observation planet pluto moon charon        peakups successful observation executed        scheduled problem reported       observation made using high speed photometer planet        uranus occultation faint star capricornus        observation help understanding planet's        atmospheric radiative dynamical process event occurred        close last quarter moon special arrangement        made modify lunar limit test allow observation        observation currently reviewed        observation looked okay                     / /  // \  / /     ron baalke                     \ /        jet propulsion lab        /       m/s - telos  cynical never help  /     /     / / pasadena ca   correct situation  /  /       /                      cause aggravation                                                    instead 
36,reply-to:  jim halat lines:   in article   kutluk ozguven writes: atheist mentioned quran quranic point view minute's reasoning see thing   guess that's scientist probably mentioned either  stock broker  television repairman    precious deep brainwashing childhood  take progress religion  clean away substantial part reasoning neuron  mind me;  exist  -jim halat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
37,reply-to: james kewageshig  distribution: comp lines:   hi all someone point towards article 'boids' flocking algorithm   also article particle animation formula nice                                                       \    \ \//                            james kewageshig              \    \//             uucp:       \    n w r k    v    fidonet:   james kewageshig - :/   \ \  \\ ---  þ deluxeý  # þ head co& xv$# hi signature virus co -- canada remote system - toronto ontario --/- 
38,lines:   article   dan lawrence bissell wrote:    first start right i'm christian    make sense one  read tony campollo's book- liar   lunatic real thing  i might little title   writes book  anyway part effort destroy christianity   process became christian himself  seems understand anything reality liar lunatic real narrow view possibility jesus message  sigh seems religion make mind/brain filter anything fit personal scheme   anyone think possibility jesus bound classical lewis notion 'liar lunatic saint' indeed bound become christian  cheer kent ---  alink: ksand -- private activity net 
39,lines:  in-reply-to: 's message   :: gmt  article   enzo liguori writes:  now space marketing is working university colorado livermore engineer a plan place mile-long inflatable billboard low-earth orbit  nasa provide contractual launch service however since nasa base charge seriously flawed cost estimate wn  mar  taxpayer bear expense may like environmental vandalism mike lawson ceo space marketing told u yesterday real purpose project help environment platform carry ozone monitor explained--advertising help defray cost  could possibly environmental vandalism environment vandalize there  since advertising is help defray cost certainly surprise the taxpayer bear expense  sound like good idea me since taxpayer bear all expense advertising  what think revolting hideous attempt vandalize the night sky  great idea done long ago  what light pollution observation i read somewhere else it might even visible day leave alone night  can't believe mile-long billboard significant effect overall sky brightness  venus visible day nobody complains that  besides leo visible twilight sky already bright even miniscule impact short time go zipping across sky  are protesting group organized state  doubt  people always looking something protest about surprise  really really depressed  well the er bright side  imagine look face people primitive tribe middle nowhere see budweiser flying across sky :-d  --  jeff cook                                    
40,lines:   created image gaea therefore must pinnacle creation creates birth continues  or cut religious crap i'm woman thanks sexism started road atheism  --  maddi hausmann                        centigram communication corp        san jose california  /-  kid try home  remember post professionally 
41,news-software: vax/vms vnews -b   lines:   article   ron baalke writes in article   james thomas green writes why spacecraft shut funding cut  example magellan told go safe mode stay bobbing venus low-power-use mode maybe year funding get restored economy get better hopefully could turned again     it be problem political one technical one  also remember every dollar spent keeping spacecraft safe mode probably spin-stabilized sun-pointing orientation dollar spent mission analysis newer spacecraft  order turn spacecraft back on either need insure ops guy available need retrain new team  said that spacecraft proposed many operational satellite goddard fly like tiro noaa  series require satellite orbit operational set extra get replaced on-orbit powered standby mode emergency  case however ops team still required fly operational birds; standby maintenance relatively cheap  finally pat's explanation some spacecraft require continuous maintenance stay control also right mark  suggested spin- stabilized control mode require little power  maintenance still might require momentum dumping time time  end is political decision since difference money technical rationale behind decision  david w @ gsfc   
42,lines:    turn jump in :  article   keith allan schneider writes: reference line trimmed   jon livesey writes:  []  there good deal confusion here   started  assertion objective morality admit here finished recursive definition   murder  objectively immoral eactly murder requires appeal morality   think circular recursive semantics recursiveness problem horribly inefficient just ask assembly programmer  yes  now switch target little little   asking goal   goal   suggesting objective goal somewhere and form moral achieve it  well example goal natural morality survival propogation specie  another example moral system presented within declaration independence state should guaranteed life liberty pursuit happiness  see to moral system must define purpose system  is we shall moral unto end  oft-quoted line say people guaranteed life liberty pursuit happiness inalienable right complete lie deception author line process proving  liberty never free always purchased cost  almost always cost another  who liberty inalienable similarly right life  person must die save another even group others who life inalienable   lead classic question value death penalty  especially serial killer  who life liberty valuable serial killer victim  according beautiful line two right completely inviolate is noone able remove them  includes government  admittedly serial killer restricted people's life and/or liberty life/liberty inviolate also  according declaration independence is  murder certainly violation golden rule  and thought defined murder intentional killing non-murderer will  oooh like that  mean killing infant murder cannot will  reason infant such  similarly people brain dead easier see coma etc  also current law accidental killing still murder  include that  and responded asking whether execution innocent person system capital punishment murder not i fail see anything  never claimed system morality objective one i thought first claim   some kind objective morality example that murder wrong   claim more that's fine  real golden rule life is gold make rule  ie might make right  survival  wrong that  well murder violates golen rule certainly pillar every moral system  however assuming current system and manner implementation objectively moral  think it good approximation can't perfect  golden rule stated yes almost every system implemented used reality  sorry deal much fiction reality    and way seem understand difference arbitrary objective   keith schneider defines murder to other that's arbitrary   jon livesey may still well according personal system morality killing human murder wrong the legal definition murder may usa kuweit saudi arabia prc may matter whit me  welcome ozland :  arbitrary  find part society societal rule moral etc arbitrary me  think any  well objective assume system based clear fundamental concept arbitary implies clear line reasoning  keith sound like euphemism me  difference seems be objective reasoning like arbitrary reasoning like understand   m^   
43,lines:    hello      searching rendering software developed specifically take advantage multi-processor computer system pointer software greatly appreciated      thanks  --  billy carter software engineering section southwest research institute  
44,x-newsreader: tin [version  pl] lines:     looking comment people used/heard photoshop window good compare mac version lot bug i heard window version need fine-tuning  comment greatly appreciated  thank you  andre boisvert   
